experiment_id,model,input_resolution,batch_size,learning_rate,num_epochs,freeze_epochs,best_validation_accuracy,final_test_accuracy,final_training_loss
1,ResNet50,224x224,32,3e-05,15,5,0.7866108786610879,0.4,0.015167161786802491
2,ResNet50,224x224,32,3e-05,15,5,0.7866108786610879,0.39655172413793105,0.011710151643255505
4,ResNet50,320x320,32,3e-05,15,5,0.799163179916318,0.4176470588235294,0.008854663694056414
5,ResNet50,320x320,32,3e-05,15,5,0.7656903765690377,0.3622291021671827,0.015557256977121204
6,ResNet50,320x320,32,3e-05,15,5,0.7949790794979079,0.33436532507739936,0.4427745044231415
7,ResNet50,320x320,16,3e-05,15,0,0.803347280334728,0.4024767801857585,0.45578614208433366
8,ResNet50,320x320,16,3e-05,15,0,0.799163179916318,0.4241486068111455,0.4559223621319502
